,Year,From country,Votes,Country,Own,English,Other,has_border
798,1999,NL,0.0,DK,0.0,1.0,0.0,
799,1999,NL,5.0,EE,1.0,1.0,0.0,
800,1999,NL,0.0,ES,1.0,0.0,0.0,
802,1999,NL,0.0,FR,1.0,0.0,0.0,
803,1999,NL,0.0,GB,1.0,1.0,0.0,
806,1999,NL,1.0,HR,1.0,0.0,0.0,
808,1999,NL,0.0,IE,1.0,1.0,0.0,
809,1999,NL,4.0,IL,0.0,0.0,1.0,
810,1999,NL,7.0,IS,0.0,1.0,0.0,
812,1999,NL,0.0,LT,0.0,0.0,1.0,
818,1999,NL,0.0,MT,1.0,1.0,0.0,
819,1999,NL,0.0,NL,0.0,1.0,0.0,
820,1999,NL,0.0,NO,0.0,1.0,0.0,
821,1999,NL,0.0,PL,1.0,0.0,0.0,
822,1999,NL,0.0,PT,1.0,0.0,0.0,
826,1999,NL,8.0,SE,0.0,1.0,0.0,
827,1999,NL,6.0,SI,0.0,1.0,0.0,
830,1999,NL,0.0,TR,1.0,0.0,0.0,
836,1999,NO,6.0,AT,0.0,1.0,0.0,
839,1999,NO,7.0,BA,0.0,0.0,1.0,
840,1999,NO,0.0,BE,0.0,1.0,0.0,
844,1999,NO,0.0,CY,1.0,0.0,0.0,
846,1999,NO,3.0,DE,0.0,0.0,1.0,
847,1999,NO,0.0,DK,0.0,1.0,0.0,
848,1999,NO,5.0,EE,1.0,1.0,0.0,
849,1999,NO,0.0,ES,1.0,0.0,0.0,
851,1999,NO,8.0,FR,1.0,0.0,0.0,
852,1999,NO,0.0,GB,1.0,1.0,0.0,
855,1999,NO,0.0,HR,1.0,0.0,0.0,
857,1999,NO,1.0,IE,1.0,1.0,0.0,
858,1999,NO,2.0,IL,0.0,0.0,1.0,
859,1999,NO,10.0,IS,0.0,1.0,0.0,
861,1999,NO,0.0,LT,0.0,0.0,1.0,
867,1999,NO,0.0,MT,1.0,1.0,0.0,
868,1999,NO,0.0,NL,0.0,1.0,0.0,
869,1999,NO,0.0,NO,0.0,1.0,0.0,
870,1999,NO,0.0,PL,1.0,0.0,0.0,
871,1999,NO,0.0,PT,1.0,0.0,0.0,
875,1999,NO,12.0,SE,0.0,1.0,0.0,1.0
876,1999,NO,0.0,SI,0.0,1.0,0.0,
879,1999,NO,4.0,TR,1.0,0.0,0.0,
885,1999,PL,3.0,AT,0.0,1.0,0.0,
888,1999,PL,5.0,BA,0.0,0.0,1.0,
889,1999,PL,2.0,BE,0.0,1.0,0.0,
893,1999,PL,0.0,CY,1.0,0.0,0.0,
895,1999,PL,12.0,DE,0.0,0.0,1.0,1.0
896,1999,PL,1.0,DK,0.0,1.0,0.0,
897,1999,PL,8.0,EE,1.0,1.0,0.0,
898,1999,PL,0.0,ES,1.0,0.0,0.0,
900,1999,PL,0.0,FR,1.0,0.0,0.0,
901,1999,PL,0.0,GB,1.0,1.0,0.0,
904,1999,PL,7.0,HR,1.0,0.0,0.0,
906,1999,PL,0.0,IE,1.0,1.0,0.0,
907,1999,PL,10.0,IL,0.0,0.0,1.0,
908,1999,PL,4.0,IS,0.0,1.0,0.0,
910,1999,PL,0.0,LT,0.0,0.0,1.0,1.0
916,1999,PL,0.0,MT,1.0,1.0,0.0,
917,1999,PL,0.0,NL,0.0,1.0,0.0,
918,1999,PL,0.0,NO,0.0,1.0,0.0,
919,1999,PL,0.0,PL,1.0,0.0,0.0,
920,1999,PL,0.0,PT,1.0,0.0,0.0,
924,1999,PL,6.0,SE,0.0,1.0,0.0,
925,1999,PL,0.0,SI,0.0,1.0,0.0,
928,1999,PL,0.0,TR,1.0,0.0,0.0,
934,1999,PT,5.0,AT,0.0,1.0,0.0,
937,1999,PT,0.0,BA,0.0,0.0,1.0,
938,1999,PT,0.0,BE,0.0,1.0,0.0,
942,1999,PT,0.0,CY,1.0,0.0,0.0,
944,1999,PT,12.0,DE,0.0,0.0,1.0,
945,1999,PT,3.0,DK,0.0,1.0,0.0,
946,1999,PT,7.0,EE,1.0,1.0,0.0,
947,1999,PT,0.0,ES,1.0,0.0,0.0,1.0
949,1999,PT,0.0,FR,1.0,0.0,0.0,
950,1999,PT,0.0,GB,1.0,1.0,0.0,
953,1999,PT,6.0,HR,1.0,0.0,0.0,
955,1999,PT,0.0,IE,1.0,1.0,0.0,
956,1999,PT,8.0,IL,0.0,0.0,1.0,
957,1999,PT,4.0,IS,0.0,1.0,0.0,
959,1999,PT,0.0,LT,0.0,0.0,1.0,
965,1999,PT,1.0,MT,1.0,1.0,0.0,
966,1999,PT,2.0,NL,0.0,1.0,0.0,
967,1999,PT,0.0,NO,0.0,1.0,0.0,
968,1999,PT,0.0,PL,1.0,0.0,0.0,
969,1999,PT,0.0,PT,1.0,0.0,0.0,
973,1999,PT,10.0,SE,0.0,1.0,0.0,
974,1999,PT,0.0,SI,0.0,1.0,0.0,
977,1999,PT,0.0,TR,1.0,0.0,0.0,
983,1999,SE,7.0,AT,0.0,1.0,0.0,
986,1999,SE,6.0,BA,0.0,0.0,1.0,
987,1999,SE,0.0,BE,0.0,1.0,0.0,
991,1999,SE,0.0,CY,1.0,0.0,0.0,
993,1999,SE,2.0,DE,0.0,0.0,1.0,
994,1999,SE,8.0,DK,0.0,1.0,0.0,
995,1999,SE,10.0,EE,1.0,1.0,0.0,
996,1999,SE,0.0,ES,1.0,0.0,0.0,
998,1999,SE,0.0,FR,1.0,0.0,0.0,
999,1999,SE,0.0,GB,1.0,1.0,0.0,
1002,1999,SE,1.0,HR,1.0,0.0,0.0,
1004,1999,SE,0.0,IE,1.0,1.0,0.0,
1005,1999,SE,3.0,IL,0.0,0.0,1.0,
1006,1999,SE,12.0,IS,0.0,1.0,0.0,
1008,1999,SE,0.0,LT,0.0,0.0,1.0,
1014,1999,SE,0.0,MT,1.0,1.0,0.0,
1015,1999,SE,4.0,NL,0.0,1.0,0.0,
1016,1999,SE,5.0,NO,0.0,1.0,0.0,1.0
1017,1999,SE,0.0,PL,1.0,0.0,0.0,
1018,1999,SE,0.0,PT,1.0,0.0,0.0,
1022,1999,SE,0.0,SE,0.0,1.0,0.0,
1023,1999,SE,0.0,SI,0.0,1.0,0.0,
1026,1999,SE,0.0,TR,1.0,0.0,0.0,
1032,1999,SI,4.0,AT,0.0,1.0,0.0,1.0
1035,1999,SI,10.0,BA,0.0,0.0,1.0,
1036,1999,SI,0.0,BE,0.0,1.0,0.0,
1040,1999,SI,0.0,CY,1.0,0.0,0.0,
1042,1999,SI,6.0,DE,0.0,0.0,1.0,
1043,1999,SI,5.0,DK,0.0,1.0,0.0,
1044,1999,SI,8.0,EE,1.0,1.0,0.0,
