index,year,from_code2,votes,to_country,lang_own,lang_eng,lang_other,has_border,migration_band,migration_year,to_code2,to_code3,population,count,prop_emigrants,gender,comps_without_win
197,1999,GB,4.0,Ireland,1.0,1.0,0.0,1.0,2000,2000,IE,IRL,3805174.0,131924,0.0346696366578768,group,2
198,1999,GB,0.0,Israel,0.0,0.0,1.0,,2000,2000,IL,ISR,6289000.0,18218,0.0028968039433932,male,0
199,1999,GB,10.0,Iceland,0.0,1.0,0.0,,2000,2000,IS,ISL,281205.0,721,0.0025639657900819,female,43
200,1999,GB,0.0,Lithuania,0.0,0.0,1.0,,2000,2000,LT,LTU,3499536.0,246,7.029503339871343e-05,female,43
201,1999,GB,6.0,Malta,1.0,1.0,0.0,,2000,2000,MT,MLT,390087.0,7313,0.0187471000058961,group,43
202,1999,GB,8.0,Netherlands,0.0,1.0,0.0,,2000,2000,NL,NLD,15925513.0,43294,0.0027185309509338,female,23
203,1999,GB,0.0,Norway,0.0,1.0,0.0,,2000,2000,NO,NOR,4490967.0,14347,0.0031946349193837,male,3
204,1999,GB,0.0,Poland,1.0,0.0,0.0,,2000,2000,PL,POL,38258629.0,2731,7.138258927156015e-05,male,43
205,1999,GB,0.0,Portugal,1.0,0.0,0.0,,2000,2000,PT,PRT,10289898.0,10009,0.0009727015758562,male,43
206,1999,GB,12.0,Sweden,0.0,1.0,0.0,,2000,2000,SE,SWE,8872109.0,14602,0.0016458318985936,female,7
207,1999,GB,0.0,Slovenia,0.0,1.0,0.0,,2000,2000,SI,SVN,1988925.0,201,0.0001010596176326,female,43
